yymmdd,day_of_year,Depth,Chl,Temp,Sal,O2,NO3,PO4,POC,PON,POP,TOC,TON,TOP,BAC,PP,year,month,day
2004-09-14,258.0,80.0,0.196,20.396,36.661,230.1,0.0,0.0,35.95,4.95,0.008,60.6,4.0,68.0,6.3,2.96,2004,9,14
2004-09-14,258.0,100.0,0.224,19.507,36.636,210.3,0.96,0.0,27.93,3.66,0.008,59.0,4.5,67.0,4.8,2.47,2004,9,14
2004-09-14,258.0,120.0,0.142,19.141,36.618,207.8,1.45,0.04,18.86,1.76,0.008,57.5,5.2,117.0,2.7,0.59,2004,9,14
2004-09-14,258.0,140.0,0.077,18.888,36.609,204.0,2.42,0.09,16.37,0.91,0.008,55.6,5.8,123.0,2.6,0.12,2004,9,14
2007-08-17,229.0,1.0,0.059,27.618,36.416,207.6,0.0,0.0,21.26,4.79,0.005,66.7,5.1,32.0,4.7,4.28,2007,8,17
2007-08-17,229.0,100.0,0.175,19.497,36.681,209.8,0.06,0.0,20.05,4.84,0.007,60.2,3.6,60.0,5.0,0.79,2007,8,17
2007-08-17,229.0,120.0,0.156,19.303,36.669,202.8,1.12,0.0,13.68,4.09,0.008,58.7,4.9,54.0,4.1,1.15,2007,8,17
2007-08-17,229.0,140.0,0.078,19.012,36.652,205.4,2.09,0.05,9.05,3.86,0.004,58.2,5.1,122.0,3.0,0.09,2007,8,17
2007-08-17,229.0,20.0,0.029,25.687,36.613,205.0,0.0,0.0,26.54,4.85,0.006,67.1,4.3,44.0,5.3,5.32,2007,8,17
2007-08-17,229.0,40.0,0.02,22.251,36.764,229.3,0.0,0.0,25.33,5.02,0.009,66.1,4.3,49.0,6.2,3.38,2007,8,17
2007-08-17,229.0,60.0,0.068,20.875,36.741,233.2,0.0,0.0,26.94,5.98,0.009,64.3,4.6,46.0,9.2,3.21,2007,8,17
2007-08-17,229.0,80.0,0.156,20.137,36.736,220.7,0.0,0.0,26.43,5.58,0.008,61.4,4.3,52.0,5.1,2.41,2007,8,17
2007-09-08,251.0,5.0,0.078,26.778,36.332,202.4,0.0,0.04,20.17,5.24,0.003,66.1,5.3,59.0,6.2,7.09,2007,9,8
2007-09-08,251.0,19.5,0.078,26.784,36.332,201.6,0.0,0.0,25.16,6.58,0.01,66.7,5.7,82.0,5.2,6.77,2007,9,8
2007-09-08,251.0,40.1,0.127,25.569,36.523,207.5,0.0,0.0,24.86,6.97,0.011,64.8,5.3,79.0,5.5,8.18,2007,9,8
2007-09-08,251.0,60.1,0.195,22.77,36.682,210.3,0.0,0.0,29.79,7.4,0.01,64.2,4.7,73.0,6.0,6.74,2007,9,8
2007-09-08,251.0,80.5,0.234,21.727,36.719,229.5,0.0,0.0,19.57,6.24,0.014,62.6,4.6,77.0,4.9,2.67,2007,9,8
2007-09-08,251.0,101.3,0.175,20.435,36.696,219.1,0.08,0.0,19.28,5.9,0.008,60.7,4.2,84.0,4.3,1.37,2007,9,8
2007-09-08,251.0,121.1,0.088,19.751,36.665,196.5,2.37,0.09,10.66,4.45,0.005,59.0,5.9,107.0,2.9,0.3,2007,9,8
2007-09-08,251.0,139.8,0.058,19.314,36.674,204.5,1.67,0.07,10.05,4.17,0.003,57.7,5.3,149.0,3.6,0.12,2007,9,8
2007-10-06,279.0,1.0,0.049,26.953,36.466,201.9,0.0,0.0,21.58,4.66,0.006,67.1,4.5,108.0,5.1,5.63,2007,10,6
2007-10-06,279.0,40.0,0.049,26.711,36.458,203.6,0.0,0.0,21.35,4.88,0.002,65.7,3.6,95.0,5.2,5.08,2007,10,6
2007-10-06,279.0,60.0,0.127,23.57,36.666,217.2,0.0,0.0,26.12,6.15,0.011,64.6,4.7,99.0,6.5,6.06,2007,10,6
2007-10-06,279.0,80.0,0.205,22.292,36.701,215.6,0.0,0.0,24.92,6.5,0.009,62.9,3.8,109.0,4.9,0.6,2007,10,6
2007-10-06,279.0,100.0,0.205,20.591,36.692,207.8,0.31,0.0,17.87,4.48,0.013,60.8,3.9,187.0,4.3,0.46,2007,10,6
2007-10-06,279.0,120.0,0.068,20.105,36.698,200.8,1.53,0.04,10.22,3.61,0.004,59.2,5.1,132.0,2.7,0.39,2007,10,6
2007-10-06,279.0,140.0,0.039,19.471,36.683,195.4,2.52,0.09,9.17,3.27,0.003,56.9,5.9,156.0,2.4,0.12,2007,10,6
2007-11-14,318.0,1.0,0.117,24.21,36.484,208.0,0.0,0.0,20.14,4.0,0.008,66.6,4.5,109.0,4.7,5.13,2007,11,14
2007-11-14,318.0,20.0,0.117,24.207,36.489,206.4,0.0,0.0,19.76,4.06,0.008,66.5,4.2,101.0,5.1,5.6,2007,11,14
2007-11-14,318.0,40.0,0.098,24.241,36.483,208.2,0.0,0.0,13.5,3.13,0.007,65.8,4.9,99.0,4.9,4.15,2007,11,14
2007-11-14,318.0,60.0,0.195,24.017,36.496,206.9,0.0,0.0,23.84,5.03,0.01,64.5,4.7,113.0,4.1,2.2,2007,11,14
2007-11-14,318.0,80.0,0.205,23.002,36.72,196.4,0.16,0.0,21.45,4.22,0.007,62.7,4.4,137.0,2.7,1.96,2007,11,14
2007-11-14,318.0,100.0,0.068,21.736,36.759,198.6,1.22,0.04,11.31,3.07,0.004,60.8,5.2,126.0,2.5,0.3,2007,11,14
2007-11-14,318.0,120.0,0.029,19.771,36.671,200.2,1.58,0.06,11.2,3.19,0.004,58.8,4.8,132.0,2.4,0.06,2007,11,14
2007-11-14,318.0,140.0,0.01,19.87,36.69,188.9,1.4,0.06,6.31,2.1,0.002,57.7,5.4,186.0,1.3,0.06,2007,11,14
2007-12-06,340.0,80.0,0.253,22.74,36.612,211.1,0.17,0.0,21.32,5.65,0.014,61.4,4.1,119.0,4.9,0.65,2007,12,6
2007-12-06,340.0,100.0,0.088,20.005,36.67,203.0,1.01,0.04,11.98,3.91,0.006,60.4,4.9,126.0,3.2,0.2,2007,12,6
2007-12-06,340.0,120.0,0.049,19.363,36.656,197.9,1.96,0.06,4.21,2.27,0.004,59.0,5.6,136.0,2.6,0.02,2007,12,6
2007-12-06,340.0,140.0,0.019,19.077,36.644,198.2,2.52,0.09,4.62,2.62,0.004,58.1,5.9,165.0,2.0,0.14,2007,12,6
2007-12-06,340.0,1.0,0.107,22.741,36.627,213.6,0.0,0.0,16.34,4.26,0.009,67.0,4.7,116.0,5.3,4.82,2007,12,6
2007-12-06,340.0,20.0,0.059,22.747,36.619,213.2,0.0,0.0,16.41,4.89,0.009,66.8,5.0,111.0,5.3,4.68,2007,12,6
2007-12-06,340.0,40.0,0.117,22.747,36.615,213.2,0.0,0.0,16.78,5.01,0.011,66.0,4.2,107.0,6.7,3.37,2007,12,6
2007-12-06,340.0,60.0,0.127,22.705,36.61,213.1,0.0,0.0,8.22,2.53,0.008,65.8,4.5,92.0,5.0,1.75,2007,12,6
2008-01-17,17.0,4.2,0.127,20.707,36.6,219.7,0.23,0.0,17.2,0.0,0.013,65.2,4.7,159.0,6.9,13.61,2008,1,17
2008-01-17,17.0,19.9,0.175,20.721,36.6,218.8,0.23,0.0,19.43,0.7,0.013,63.5,4.9,138.0,6.5,11.45,2008,1,17
2008-01-17,17.0,40.0,0.166,20.73,36.6,218.5,0.23,0.0,26.58,1.61,0.013,63.3,4.3,169.0,5.8,5.86,2008,1,17
2008-01-17,17.0,61.3,0.175,20.718,36.599,218.3,0.22,0.0,16.31,0.0,0.013,64.9,4.9,146.0,5.5,2.09,2008,1,17
2008-01-17,17.0,79.9,0.146,20.723,36.599,217.8,0.24,0.0,22.44,2.0,0.015,65.1,5.3,153.0,4.1,0.42,2008,1,17
2008-01-17,17.0,102.2,0.136,20.728,36.598,217.6,0.26,0.0,8.81,0.0,0.011,63.7,4.4,140.0,3.8,0.1,2008,1,17
2008-01-17,17.0,120.0,0.058,20.666,36.586,214.7,0.54,0.0,15.77,0.89,0.01,62.0,4.5,171.0,3.6,-0.01,2008,1,17
2008-01-17,17.0,141.3,0.01,20.141,36.627,201.2,1.61,0.06,8.4,0.95,0.004,60.6,5.7,194.0,3.0,-0.03,2008,1,17
2008-02-12,43.0,5.5,0.088,20.651,36.694,220.8,0.0,0.0,20.19,4.35,0.011,63.3,4.1,94.0,4.2,5.18,2008,2,12
2008-02-12,43.0,19.7,0.078,20.653,36.693,220.6,0.0,0.0,23.03,5.59,0.01,63.5,3.4,134.0,3.5,5.99,2008,2,12
2008-02-12,43.0,39.4,0.097,20.724,36.723,220.6,0.0,0.0,19.51,5.53,0.009,62.7,4.3,128.0,3.6,4.83,2008,2,12
2008-02-12,43.0,60.1,0.195,20.624,36.689,220.9,0.0,0.0,17.93,4.35,0.011,62.5,4.1,94.0,4.0,2.58,2008,2,12
2008-02-12,43.0,80.4,0.195,20.554,36.682,220.8,0.0,0.0,17.93,4.35,0.011,62.8,4.6,89.0,4.0,1.45,2008,2,12
2008-02-12,43.0,99.2,0.156,20.349,36.654,218.4,0.11,0.0,17.8,4.74,0.009,61.0,3.8,111.0,4.3,0.72,2008,2,12
2008-02-12,43.0,119.5,0.088,19.431,36.64,210.1,0.68,0.0,15.85,3.84,0.009,60.0,4.3,121.0,2.7,0.32,2008,2,12
2008-02-12,43.0,139.6,0.039,18.889,36.624,195.2,2.14,0.04,6.79,2.54,0.005,54.6,5.9,134.0,2.5,-0.13,2008,2,12
2008-03-13,73.0,4.7,0.058,20.384,36.706,221.2,0.0,0.0,35.0,6.47,0.008,65.2,3.9,74.0,5.6,4.19,2008,3,13
2008-03-13,73.0,19.9,0.058,20.385,36.706,222.0,0.0,0.0,32.82,3.71,0.009,65.6,3.7,83.0,4.9,4.81,2008,3,13
2008-03-13,73.0,39.8,0.068,20.383,36.706,222.9,0.0,0.0,24.26,4.31,0.008,65.6,4.6,71.0,4.4,3.35,2008,3,13
2008-03-13,73.0,59.7,0.088,20.386,36.706,223.8,0.0,0.0,20.55,4.25,0.011,63.6,4.0,75.0,4.5,2.65,2008,3,13
2008-03-13,73.0,81.1,0.097,20.391,36.706,224.6,0.0,0.0,20.48,3.98,0.009,63.6,3.9,77.0,4.0,1.41,2008,3,13
2008-03-13,73.0,99.1,0.195,19.71,36.649,224.1,0.0,0.0,14.13,1.77,0.012,64.0,4.3,89.0,4.0,3.35,2008,3,13
2008-03-13,73.0,121.5,0.185,19.292,36.615,217.0,0.65,0.0,22.04,3.55,0.008,62.1,4.7,89.0,3.4,0.25,2008,3,13
2008-03-13,73.0,139.4,0.049,19.087,36.62,211.6,1.42,0.0,14.09,2.01,0.005,59.3,5.4,101.0,2.9,0.14,2008,3,13
2008-04-15,106.0,4.9,0.039,21.376,36.776,219.1,0.0,0.0,18.88,4.0,0.006,67.1,4.2,82.0,4.8,2.61,2008,4,15
2008-04-15,106.0,19.9,0.039,21.383,36.777,219.3,0.0,0.0,19.25,4.88,0.006,67.0,4.0,79.0,4.2,1.84,2008,4,15
2008-04-15,106.0,36.9,0.058,21.059,36.758,220.1,0.0,0.0,19.72,5.71,0.008,65.6,4.5,81.0,4.5,0.61,2008,4,15
2008-04-15,106.0,60.9,0.049,20.692,36.73,220.8,0.0,0.0,22.57,5.65,0.009,64.7,3.7,77.0,4.1,1.12,2008,4,15
2008-04-15,106.0,78.8,0.117,20.44,36.711,219.9,0.0,0.0,18.24,4.6,0.007,62.7,4.2,74.0,4.4,0.66,2008,4,15
2008-04-15,106.0,98.4,0.156,20.302,36.717,226.1,0.0,0.0,34.57,6.82,0.011,61.9,4.1,63.0,4.6,0.55,2008,4,15
2008-04-15,106.0,119.7,0.234,20.005,36.692,222.6,0.0,0.0,31.41,8.04,0.026,62.4,3.8,73.0,4.9,0.4,2008,4,15
2008-05-30,151.0,21.8,0.029,20.969,36.567,222.0,0.0,0.0,35.86,1.08,0.01,66.6,4.7,80.0,5.3,9.46,2008,5,30
2008-05-30,151.0,1.0,0.029,21.04,36.501,222.0,0.0,0.0,31.47,5.14,0.011,66.6,4.3,100.0,4.6,6.73,2008,5,30
2008-05-30,151.0,41.1,0.068,20.37,36.602,224.8,0.0,0.0,36.56,0.65,0.01,64.8,4.6,99.0,3.9,4.17,2008,5,30
2008-05-30,151.0,60.6,0.214,19.212,36.639,228.8,0.0,0.0,38.3,2.06,0.015,63.4,4.2,88.0,7.2,5.45,2008,5,30
2008-05-30,151.0,80.8,0.341,18.903,36.46,222.4,0.0,0.0,22.84,5.76,0.012,62.3,4.1,108.0,4.8,3.07,2008,5,30
2008-05-30,151.0,100.9,0.185,18.749,36.621,216.6,0.68,0.04,22.84,5.76,0.009,61.4,6.8,104.0,3.5,0.86,2008,5,30
2008-05-30,151.0,119.9,0.097,18.669,36.614,215.1,1.54,0.05,11.66,3.2,0.006,60.1,6.3,128.0,3.5,0.19,2008,5,30
2008-05-30,151.0,140.6,0.039,18.551,36.607,215.8,1.97,0.06,10.08,3.04,0.004,58.5,5.6,124.0,3.5,-0.01,2008,5,30
2008-08-14,227.0,3.4,0.02,26.988,36.523,199.4,0.05,0.0,20.75,4.35,0.007,66.5,4.4,30.0,3.0,4.31,2008,8,14
2008-08-14,227.0,19.0,0.01,26.303,36.544,199.2,0.05,0.0,20.32,5.19,0.006,66.4,4.0,40.0,2.2,5.22,2008,8,14
2008-08-14,227.0,39.9,0.039,23.082,36.55,220.7,0.05,0.0,21.92,5.18,0.009,65.8,3.6,32.0,4.0,4.66,2008,8,14
2008-08-14,227.0,59.5,0.068,20.132,36.599,228.1,0.06,0.0,25.31,4.95,0.007,65.3,4.1,46.0,3.3,6.13,2008,8,14
2008-08-14,227.0,79.4,0.137,19.625,36.595,219.8,0.1,0.0,26.01,6.22,0.014,64.3,3.9,35.0,3.3,4.07,2008,8,14
2008-08-14,227.0,100.2,0.059,19.57,36.597,207.2,1.39,0.0,16.2,4.49,0.005,61.3,5.2,58.0,3.9,0.83,2008,8,14
2008-08-14,227.0,119.3,0.029,19.177,36.628,204.1,2.0,0.04,10.18,2.98,0.005,59.2,5.1,93.0,1.8,0.15,2008,8,14
2008-08-14,227.0,140.7,0.019,18.953,36.623,204.7,2.09,0.04,13.07,3.68,0.003,57.8,5.5,77.0,2.9,0.04,2008,8,14
2008-09-12,256.0,3.5,0.029,28.617,36.293,198.7,0.06,0.0,6.34,1.49,0.007,67.7,4.7,106.0,3.5,3.9,2008,9,12
2008-09-12,256.0,19.7,0.02,27.768,36.462,208.6,0.06,0.0,20.59,3.97,0.005,66.9,3.7,82.0,4.2,3.59,2008,9,12
2008-09-12,256.0,40.0,0.02,23.659,36.59,225.4,0.06,0.0,22.11,4.37,0.009,66.5,4.1,71.0,4.3,4.17,2008,9,12
2008-09-12,256.0,58.9,0.059,21.279,36.721,225.7,0.06,0.0,24.11,5.06,0.008,65.2,4.4,73.0,4.1,2.95,2008,9,12
2008-09-12,256.0,79.7,0.059,19.886,36.606,220.1,0.06,0.0,24.72,5.0,0.007,61.9,4.1,85.0,4.5,4.18,2008,9,12
2008-09-12,256.0,100.1,0.078,19.32,36.612,207.4,1.28,0.0,21.12,5.12,0.009,60.6,5.0,105.0,3.5,2.06,2008,9,12
2008-09-12,256.0,119.4,0.195,19.141,36.62,203.0,2.12,0.0,21.12,5.12,0.005,58.2,6.0,118.0,2.2,0.52,2008,9,12
2008-09-12,256.0,139.6,0.039,18.852,36.615,204.3,2.72,0.06,7.13,2.12,0.003,57.2,4.9,142.0,2.0,-0.07,2008,9,12
2009-08-15,227.0,3.8,0.977,28.517,36.324,206.6,0.0,0.0,20.5,5.26,0.011,67.1,4.5,132.0,4.1,5.64,2009,8,15
2009-08-15,227.0,20.3,0.977,28.141,36.305,206.6,0.0,0.0,20.37,4.56,0.009,66.7,5.1,118.0,4.6,3.67,2009,8,15
2009-08-15,227.0,39.5,0.977,25.233,36.511,206.6,0.0,0.0,31.06,6.07,0.011,67.4,5.6,112.0,9.3,4.19,2009,8,15
2009-08-15,227.0,61.5,0.976,23.28,36.652,209.4,0.0,0.0,24.76,5.9,0.012,65.9,4.3,117.0,8.9,4.53,2009,8,15
2009-08-15,227.0,80.0,0.976,21.67,36.692,208.7,0.0,0.04,23.48,5.48,0.012,63.4,5.6,117.0,4.3,4.4,2009,8,15
2009-08-15,227.0,101.4,0.976,20.797,36.688,194.0,1.45,0.0,20.53,5.36,0.009,61.9,5.7,136.0,2.8,1.71,2009,8,15
2009-08-15,227.0,120.2,0.976,20.198,36.67,196.7,1.89,0.06,12.29,3.74,0.006,60.3,6.3,179.0,3.3,0.31,2009,8,15
2009-08-15,227.0,141.3,0.976,19.586,36.633,208.4,1.46,0.04,12.91,3.03,0.005,58.7,6.1,143.0,3.6,0.05,2009,8,15
2009-11-08,312.0,5.2,0.098,24.516,36.387,206.1,0.0,0.0,24.17,5.02,0.009,67.7,4.4,80.0,6.1,1.95,2009,11,8
2009-11-08,312.0,19.6,0.107,24.529,36.387,205.7,0.0,0.0,19.95,4.26,0.009,67.8,4.0,147.0,6.2,2.38,2009,11,8
2009-11-08,312.0,39.5,0.127,24.534,36.387,207.2,0.0,0.0,19.22,4.09,0.01,66.9,3.9,103.0,5.6,2.74,2009,11,8
2009-11-08,312.0,60.3,0.146,24.537,36.387,206.8,0.0,0.0,22.0,4.97,0.011,67.1,4.1,82.0,4.3,1.47,2009,11,8
2009-11-08,312.0,78.9,0.185,24.268,36.535,206.3,0.0,0.0,17.44,4.2,0.011,66.3,4.2,80.0,4.7,1.76,2009,11,8
2009-11-08,312.0,100.5,0.312,22.848,36.707,198.7,0.23,0.0,22.29,5.55,0.015,60.9,4.3,79.0,6.0,1.15,2009,11,8
2009-11-08,312.0,121.0,0.117,21.518,36.718,197.5,1.22,0.0,24.14,3.56,0.007,58.4,4.7,92.0,3.1,0.15,2009,11,8
2009-11-08,312.0,141.4,0.049,20.57,36.685,201.4,1.33,0.0,6.61,2.51,0.004,57.1,4.6,112.0,2.4,-0.07,2009,11,8
2009-12-09,343.0,4.6,0.195,23.004,36.52,211.2,0.0,0.0,28.4,4.66,0.011,67.2,4.1,76.0,5.2,4.32,2009,12,9
2009-12-09,343.0,20.1,0.176,22.898,36.519,212.0,0.0,0.0,21.95,3.79,0.012,66.6,4.3,70.0,8.4,5.61,2009,12,9
2009-12-09,343.0,39.7,0.195,22.895,36.517,212.5,0.0,0.0,22.27,4.03,0.008,66.3,4.0,80.0,5.4,4.28,2009,12,9
2009-12-09,343.0,60.2,0.234,22.745,36.499,211.5,0.0,0.0,25.05,5.12,0.01,65.5,4.5,70.0,4.6,2.53,2009,12,9
2009-12-09,343.0,80.9,0.205,22.604,36.517,208.6,0.13,0.0,15.86,3.1,0.012,63.4,4.1,90.0,4.4,0.49,2009,12,9
2009-12-09,343.0,99.3,0.127,21.972,36.681,206.1,0.49,0.0,15.7,3.05,0.013,60.8,4.9,88.0,4.4,0.52,2009,12,9
2009-12-09,343.0,120.3,0.078,20.593,36.687,194.8,1.44,0.0,8.95,1.61,0.006,58.8,4.1,101.0,2.7,-0.06,2009,12,9
2009-12-09,343.0,141.3,0.039,19.794,36.651,202.7,1.63,0.04,6.91,1.71,0.005,57.7,4.5,101.0,3.1,-0.1,2009,12,9
2010-02-24,55.0,4.1,0.36,18.446,36.607,223.2,1.14,0.0,31.56,5.92,0.018,60.6,3.8,126.0,3.4,20.41,2010,2,24
2010-02-24,55.0,21.0,0.37,18.458,36.607,222.6,1.13,0.0,32.13,6.45,0.013,59.6,4.5,111.0,4.5,17.72,2010,2,24
2010-02-24,55.0,39.9,0.487,18.46,36.607,222.9,1.22,0.0,27.12,5.98,0.013,59.4,4.8,114.0,5.3,17.02,2010,2,24
2010-02-24,55.0,79.6,0.243,18.471,36.606,220.5,1.78,0.04,16.87,4.16,0.009,58.1,5.0,119.0,3.8,3.29,2010,2,24
2010-02-24,55.0,119.9,0.175,18.507,36.607,220.9,2.01,0.05,13.16,3.4,0.009,57.1,5.0,180.0,5.0,0.44,2010,2,24
2010-02-24,55.0,139.8,0.156,18.481,36.606,220.6,2.05,0.04,23.49,5.28,0.011,57.1,5.0,176.0,3.5,0.06,2010,2,24
2010-03-25,84.0,4.5,0.399,18.814,36.606,235.4,0.23,0.0,41.95,8.89,0.035,62.2,4.3,142.0,4.9,27.93,2010,3,25
2010-03-25,84.0,20.1,0.896,18.825,36.606,236.1,0.19,0.05,115.26,16.33,0.061,62.4,5.7,135.0,4.4,23.38,2010,3,25
2010-03-25,84.0,40.6,0.565,18.712,36.61,235.7,0.21,0.0,50.25,10.87,0.043,61.3,4.5,140.0,4.1,8.59,2010,3,25
2010-03-25,84.0,60.2,0.361,18.817,36.622,227.6,0.21,0.0,26.97,7.45,0.029,61.3,4.5,196.0,4.4,2.12,2010,3,25
2010-03-25,84.0,80.2,0.273,18.504,36.611,222.7,0.92,0.0,23.52,6.18,0.029,59.5,5.5,217.0,4.7,0.75,2010,3,25
2010-03-25,84.0,100.9,0.166,18.486,36.609,222.4,1.64,0.04,15.94,4.51,0.013,59.1,5.1,245.0,5.0,1.51,2010,3,25
2010-03-25,84.0,119.9,0.078,18.46,36.607,220.0,1.64,0.05,13.94,3.72,0.011,58.6,5.2,208.0,4.8,0.09,2010,3,25
2010-03-25,84.0,140.8,0.058,18.407,36.601,217.6,2.0,0.06,10.06,3.18,0.011,57.7,5.6,223.0,4.4,0.42,2010,3,25
2010-04-22,112.0,4.0,0.068,20.086,36.747,225.5,0.2,0.0,23.34,5.06,0.011,64.6,4.1,11.0,5.0,2.45,2010,4,22
2010-04-22,112.0,21.0,0.068,20.09,36.747,225.7,0.19,0.0,26.18,5.59,0.013,64.2,4.0,35.0,6.0,2.83,2010,4,22
2010-04-22,112.0,40.3,0.078,20.086,36.746,227.0,0.19,0.0,20.54,4.65,0.011,63.6,3.6,27.0,6.0,4.06,2010,4,22
2010-04-22,112.0,59.6,0.166,20.055,36.745,225.6,0.2,0.0,25.16,5.82,0.012,62.7,3.8,34.0,7.2,3.77,2010,4,22
2010-04-22,112.0,79.8,0.487,19.327,36.674,214.4,0.87,0.0,28.62,6.82,0.025,59.7,4.2,35.0,9.5,6.21,2010,4,22
2010-04-22,112.0,101.4,0.224,19.033,36.649,211.0,1.78,0.04,11.58,3.7,0.011,56.8,5.1,75.0,5.1,0.97,2010,4,22
2010-04-22,112.0,121.0,0.068,18.912,36.641,211.1,2.22,0.04,7.14,2.23,0.006,54.8,5.0,60.0,3.9,0.24,2010,4,22
2010-04-22,112.0,139.1,0.039,18.76,36.632,210.6,2.41,0.04,5.0,2.17,0.005,54.7,5.9,106.0,2.5,0.07,2010,4,22
2010-05-14,134.0,4.9,0.078,20.3,36.684,228.8,0.2,0.0,52.9,7.04,0.014,65.8,4.2,38.0,8.5,9.73,2010,5,14
2010-05-14,134.0,20.2,0.097,20.304,36.683,229.6,0.19,0.0,55.24,7.98,0.014,65.8,4.1,69.0,11.4,9.39,2010,5,14
2010-05-14,134.0,40.8,0.127,19.313,36.643,242.2,0.19,0.0,53.28,5.92,0.019,66.0,4.9,41.0,10.9,5.84,2010,5,14
2010-05-14,134.0,60.4,0.214,19.021,36.645,233.6,0.22,0.0,54.3,9.03,0.019,62.6,4.5,89.0,11.0,3.29,2010,5,14
2010-05-14,134.0,79.9,0.38,18.763,36.621,221.6,1.32,0.0,25.29,6.27,0.012,58.6,5.1,102.0,6.3,2.74,2010,5,14
2010-05-14,134.0,100.5,0.175,18.498,36.611,215.0,2.58,0.09,16.17,4.4,0.01,57.7,6.0,147.0,5.8,0.36,2010,5,14
2010-05-14,134.0,120.8,0.029,18.409,36.605,215.5,2.81,0.1,8.12,2.58,0.004,56.1,5.9,193.0,3.2,-0.11,2010,5,14
2010-05-14,134.0,140.7,0.01,18.36,36.601,215.7,2.9,0.09,8.36,2.35,0.005,55.0,6.2,195.0,3.4,0.01,2010,5,14
2010-06-23,174.0,2.4,0.059,27.176,36.769,208.7,0.2,0.0,24.54,5.1,0.009,66.7,4.0,47.0,6.5,9.17,2010,6,23
2010-06-23,174.0,19.9,0.068,22.82,36.637,228.0,0.2,0.0,29.44,6.05,0.012,66.8,4.6,50.0,10.7,7.78,2010,6,23
2010-06-23,174.0,39.8,0.117,20.044,36.639,242.6,0.2,0.0,27.16,4.96,0.015,66.7,4.1,62.0,10.9,6.42,2010,6,23
2010-06-23,174.0,59.8,0.224,19.478,36.643,226.3,0.19,0.0,37.81,6.68,0.008,63.2,4.9,58.0,12.8,5.23,2010,6,23
2010-06-23,174.0,79.7,0.39,18.738,36.616,222.4,0.59,0.0,39.96,7.95,0.019,62.2,4.7,73.0,11.0,4.79,2010,6,23
